root_id,length_nm,area_nm,size_nm
720575940596125868,396840,628299136,37616302080
720575940597856265,1184013,1634424448,100004290560
720575940597944841,784742,1022307072,58954229760
720575940598267657,1645960,2346787840,140744601600
720575940599333574,575383,1366784768,111170764800
720575940599457990,358695,670791040,48975482880
720575940599459782,283859,486778496,37054986240
720575940599704006,403884,710699520,50541926400
720575940599729862,465884,748606848,52759603200
720575940599733446,403772,656803200,46150871040
720575940599736492,151117,527969536,43888056320
720575940599744172,120950,448176640,36196372480
720575940599755718,434291,755607680,50628126720
720575940599763910,395365,645208704,43827691520
720575940599797164,377431,568760448,36632616960
720575940600010668,101120,426816000,35905413120
720575940600071689,409470,759341440,61880033280
720575940600084489,349814,693834624,58346987520
720575940600101641,507947,851107584,62678333440
720575940600124169,355209,677323648,56608747520
720575940600143369,489450,869404160,63051130880
720575940600150793,418996,790574592,60516659200
720575940600322965,316597,899011200,88541163520
720575940600433181,209142,862497024,112795627520
720575940600547529,382998,656025728,44622110720
720575940600588204,373161,585700352,38648166400
720575940600623020,361217,584509312,47243018240
720575940600646173,272051,926861696,100411381760
720575940600722348,326943,467363840,32926330880
720575940600782252,580033,1013554176,81800826880
720575940600850441,542755,929574784,61180098560
720575940600866569,384499,727925504,52798638080
720575940600934665,498201,889860992,66314188800
720575940601049097,154248,428865792,30767196160
720575940601067436,366628,608066048,43827691520
720575940601103625,813397,1237082752,89826856960
720575940601206499,369914,630923392,47318456320
720575940601263473,351893,664304512,47791953920
720575940601325484,384388,636322816,45933854720
720575940601412361,909199,1182854784,64304302080
720575940601423625,962873,1706875776,128202997760
720575940601598892,555257,1001224576,79528652800
720575940601603185,527216,864959744,46627993600
720575940601653513,322490,482980352,39726858240
720575940601672201,343703,665103232,48784640000
720575940601712649,2938731,6408405376,584604590080
720575940601736201,808184,1426185216,102395668480
720575940601867017,658376,1015829120,67234478080
720575940602120928,2900296,4096610176,218489722880
720575940602132509,219136,772556544,82103767040
720575940602140862,249851,421328768,35069552640
720575940602289198,160810,485069440,55495966720
720575940602309600,108781,305752832,17206087680
720575940602313952,556637,958501760,53967298560
720575940602337504,803268,2352311168,175970641920
720575940602353632,467031,1058950400,53780766720
720575940602380768,2203603,4442342016,309903452160
720575940602382304,807991,2058726656,161380075520
720575940602398473,584845,968128512,68174039040
720575940602401214,463672,654613248,42951669760
720575940602415584,1028082,1678626176,115126466560
720575940602430944,734076,1794541824,117259489280
720575940602444512,284985,678941440,49678080000
720575940602447328,127888,282677504,14958581760
720575940602483424,3316500,5622174336,397367848960
720575940602497726,354630,580632832,42761574400
720575940602506208,235908,697419520,52577372160
720575940602534112,981781,1704776064,88070778880
720575940602553568,713672,1707184768,109931888640
720575940602564320,657447,1316774400,102109143040
