root_id,hemisphere,type,column_id,x,y,p,q
720575940596125868,right,T5c,93,-6,3,7,-4
720575940599333574,right,Tm1,355,-7,-6,4,-10
720575940599457990,right,T4b,247,-4,-15,-4,-11
720575940599459782,right,T5b,513,-4,-13,-3,-10
720575940599704006,right,T5a,331,1,-15,-9,-6
720575940599729862,right,T5a,129,0,-13,-7,-6
720575940599733446,right,T5b,571,0,-14,-7,-7
720575940599755718,right,T4a,403,-2,-12,-4,-8
720575940599763910,right,T5b,741,-2,-14,-5,-9
720575940600071689,right,T5b,81,6,-2,-7,5
720575940600084489,right,Tm9,487,1,-1,-2,1
720575940600101641,right,T4a,487,1,-1,-2,1
720575940600124169,right,T5b,272,3,-2,-4,2
720575940600143369,right,T4a,662,2,-1,-3,2
720575940600150793,right,T5a,325,5,1,-5,6
720575940600547529,right,T4a,727,7,6,-4,10
720575940600782252,right,Mi9,342,2,-15,-10,-5
720575940600850441,right,T4c,203,3,-1,-4,3
720575940600866569,right,T5d,662,2,-1,-3,2
720575940600934665,right,T4d,203,3,-1,-4,3
720575940601206499,right,T4b,356,0,22,11,11
720575940601263473,left,T4a,497,6,1,-6,7
720575940601598892,right,Mi9,441,3,-16,-11,-5
720575940601603185,left,T2a,473,-4,23,15,8
720575940601672201,right,T4b,265,-6,-1,5,-6
720575940602140862,right,T5b,667,1,-28,-15,-13
720575940602398473,right,Tm3,276,2,3,-1,4
720575940602401214,right,T3,401,-2,-19,-8,-11
720575940602497726,right,T5c,397,-3,-19,-7,-12
720575940602572768,right,T2a,598,2,-18,-11,-7
720575940602577598,right,T5a,368,-4,-20,-6,-14
720575940602737598,right,T5a,48,-4,-22,-7,-15
720575940602790610,right,T5c,185,2,-11,-8,-3
720575940602857696,right,L1,188,-5,17,13,4
720575940602880736,right,Tm9,262,1,-11,-7,-4
720575940602922976,right,T2,595,7,-12,-13,1
720575940602928608,right,T4c,587,4,22,7,15
720575940602943968,right,Mi4,205,5,-6,-8,2
720575940603022304,left,T4a,238,-8,-3,6,-9
720575940603042272,right,Mi1,1,-6,13,12,1
720575940603200428,right,Mi1,2,-8,2,9,-7
720575940603268780,right,Tm2,416,3,-8,-7,-1
720575940603295200,right,Mi9,19,-7,17,15,2
720575940603314656,right,Tm2,491,7,-1,-8,7
720575940603318240,left,Tm4,524,4,-20,-14,-6
720575940603327916,right,Mi1,3,6,-12,-12,0
720575940603333804,right,T2a,311,-7,15,14,1
720575940603349216,left,T5d,587,4,22,7,15
720575940603356896,right,T4d,354,-2,-26,-11,-15
720575940603365980,right,T5a,626,-5,-8,1,-9
720575940603373916,right,T5a,175,-6,-7,2,-9
720575940603383008,right,Tm3,317,-5,-4,3,-7
720575940603384748,right,Tm4,1,-6,13,12,1
720575940603390380,left,T5c,663,0,8,4,4
720575940603391712,right,T4c,379,3,-17,-12,-5
720575940603391778,left,T5d,325,5,1,-5,6
720575940603392546,left,T5b,204,5,-2,-6,4
720575940603394272,right,T4c,748,-4,20,14,6
720575940603404834,left,T5d,53,5,14,2,12
720575940603435232,right,C2,754,-1,-13,-6,-7
720575940603471811,left,T5d,583,3,-25,-16,-9
720575940603472608,right,Mi9,338,-1,0,1,-1
720575940603487456,left,T5d,44,5,-10,-10,0
720575940603491957,right,T4a,391,4,-3,-6,3
720575940603495648,right,Tm2,652,-6,-11,0,-11
720575940603498357,right,T4d,219,6,-4,-8,4
720575940603498613,right,T4c,566,5,-8,-9,1
720575940603498869,right,T4b,312,4,-7,-8,1
720575940603501024,left,Tm9,389,4,-28,-18,-10
720575940603526005,right,T4a,682,6,-8,-10,2
720575940603544363,left,T5d,758,5,-1,-6,5
720575940603556981,right,T4d,268,7,-6,-10,4
720575940603557920,right,Tm9,312,4,-7,-8,1
720575940603563893,right,T4c,11,7,-14,-14,0
720575940603568757,right,T4a,268,7,-6,-10,4
720575940603604258,left,T5b,694,4,3,-3,6
720575940603605538,left,T4a,561,5,7,-2,9
720575940603688226,left,T5b,458,5,0,-5,5
720575940603701472,left,Tm9,346,-7,-9,2,-11
720575940603707657,right,T2,2,-8,2,9,-7
720575940603714652,right,T5b,652,-6,-11,0,-11
720575940603718316,right,L4,161,4,-14,-11,-3
720575940603761836,right,T5a,239,-6,6,9,-3
720575940603763680,left,T1,123,-8,10,13,-3
720575940603767980,right,T3,730,7,0,-7,7
720575940603797420,right,T4c,363,7,-4,-9,5
720575940603809452,right,Tm20,156,-9,1,9,-8
720575940603841964,left,Mi9,228,-7,1,7,-6
720575940603842476,right,T4d,83,2,-21,-13,-8
720575940603851180,left,L4,720,-5,21,15,6
720575940603873033,right,T5b,426,-3,0,3,-3
720575940603884512,right,Tm1,392,-4,7,7,0
720575940603893280,right,Tm2,691,-9,4,11,-7
720575940603904496,right,T4c,351,-1,-17,-8,-9
720575940603915436,right,Tm20,549,0,-9,-5,-4
720575940603923116,right,L5,77,2,-5,-5,0
720575940603934892,right,Tm4,637,3,-21,-14,-7
720575940603935334,right,Mi1,4,-5,-21,-6,-15
720575940603940012,right,T5a,710,4,-25,-17,-8
720575940603987390,right,L4,514,-4,-10,-1,-9
720575940604009062,right,Tm1,734,2,0,-2,2
720575940604013926,right,T2a,242,-4,6,7,-1
720575940604038880,right,Tm2,50,-2,21,12,9
720575940604076990,right,Tm3,560,-7,14,14,0
720575940604080318,right,Tm9,416,3,-8,-7,-1
720575940604084704,right,T5b,633,-1,-24,-11,-13
720575940604086496,right,L5,235,4,11,1,10
720575940604094240,right,Tm1,475,-4,-1,3,-4
720575940604105137,right,T5b,209,-3,-8,-1,-7
720575940604119842,left,T1,97,-5,2,6,-4
720575940604142453,right,T4c,511,5,-11,-11,0
720575940604151008,right,Mi1,6,-2,-4,0,-4
720575940604151520,right,Tm1,105,3,22,8,14
720575940604174882,left,Tm2,263,-3,4,5,-1
720575940604179372,left,T5b,294,1,-20,-11,-9
720575940604180140,right,T4b,671,-4,-23,-8,-15
720575940604183654,right,Tm2,143,-4,16,12,4
720575940604191456,right,Mi1,7,-6,-6,3,-9
720575940604192992,left,T5d,244,-4,-12,-2,-10
720575940604198828,left,T4a,105,3,22,8,14
720575940604200364,left,T3,152,3,-15,-11,-4
720575940604209580,right,Mi4,550,-2,3,3,0
720575940604213937,right,L4,284,0,25,12,13
720575940604218028,right,T2a,550,-2,3,3,0
720575940604221356,left,T5c,590,1,9,3,6
720575940604248032,right,T2,554,-9,-3,7,-10
720575940604255712,right,Mi1,8,-4,26,17,9
720575940604288172,left,Tm9,332,4,-26,-17,-9
720575940604307936,right,C3,213,3,-4,-5,1
720575940604323808,right,T5c,562,-5,-2,4,-6
720575940604324320,right,T5c,522,-4,0,4,-4
720575940604324576,left,T4b,454,5,-12,-11,-1
720575940604336049,right,T2a,97,-5,2,6,-4
720575940604337632,left,T4b,642,-5,-11,-1,-10
720575940604341280,right,Tm3,394,-7,-8,3,-11
720575940604383776,right,T4a,651,-4,-5,1,-6
720575940604386594,left,T4a,536,3,4,-1,5
720575940604411616,right,T5b,598,2,-18,-11,-7
720575940604412896,right,T5c,548,1,-16,-9,-7
720575940604413664,right,T5b,413,-2,-7,-2,-5
720575940604415148,right,T2a,37,1,5,1,4
720575940604427232,right,T5b,431,-2,-10,-3,-7
720575940604427552,left,Mi1,549,0,-9,-5,-4
720575940604432864,right,T5a,558,-4,-21,-7,-14
720575940604435061,right,T4b,557,6,-10,-11,1
720575940604436720,right,T4d,142,-2,-18,-7,-11
720575940604437792,left,Tm1,432,-5,7,8,-1
720575940604438048,left,T2,565,0,-26,-13,-13
720575940604453408,left,Tm3,766,2,-4,-4,0
720575940604457200,right,T5c,294,1,-20,-11,-9
720575940604467488,left,Tm4,495,4,5,-2,7
720575940604470188,left,Mi1,1,-6,13,12,1
720575940604474982,right,T4a,663,0,8,4,4
720575940604476774,right,C3,127,0,15,7,8
720575940604478065,left,T4b,591,3,-3,-5,2
720575940604487456,left,T3,540,-2,-9,-3,-6
720575940604487968,right,T5d,481,4,-8,-8,0
720575940604494694,right,Tm9,413,-2,-7,-2,-5
720575940604495537,left,T5d,223,-2,26,15,11
720575940604498022,right,Tm2,264,-1,-6,-2,-4
720575940604508332,right,Mi1,9,4,9,0,9
720575940604508960,right,T2a,468,-3,11,8,3
720575940604511776,right,T5c,320,-2,-5,-1,-4
720575940604519014,right,T3,16,-2,-16,-6,-10
720575940604521440,right,C3,148,-7,-11,1,-12
720575940604521952,right,T4c,644,-6,18,15,3
720575940604525792,left,L1,490,-5,6,8,-2
720575940604529580,right,Tm20,774,-8,6,11,-5
720575940604541798,right,Tm1,70,-4,21,14,7
720575940604544358,right,T5a,104,-1,-27,-13,-14
720575940604553150,right,Tm21,543,-1,-4,-1,-3
720575940604561510,right,Tm3,149,6,-14,-13,-1
720575940604565280,left,T4a,185,2,-11,-8,-3
720575940604567486,right,T4d,544,3,-13,-10,-3
720575940604584672,right,L5,361,0,-7,-4,-3
720575940604585504,right,T2a,29,-1,-3,-1,-2
720575940604585662,left,L3,357,4,17,4,13
720575940604590880,left,L4,330,3,3,-2,5
720575940604592160,left,Tm1,400,1,-29,-16,-13
720575940604598974,left,T1,104,-1,-27,-13,-14
720575940604599654,right,L5,461,7,-5,-10,5
720575940604605030,left,C3,281,-9,2,10,-8
720575940604607678,right,Mi1,779,5,24,7,17
720575940604609201,left,Mi9,498,6,10,-1,11
720575940604610225,right,T2,792,8,2,-7,9
720575940604618417,left,T5a,145,0,4,2,2
720575940604622453,right,T4c,328,5,-9,-10,1
720575940604624096,left,L3,343,-3,27,16,11
720575940604627889,right,Tm4,226,5,19,4,15
720575940604629681,left,T5c,623,1,13,5,8
720575940604630752,left,Mi4,767,1,28,13,15
720575940604634592,left,Mi4,760,0,17,8,9
720575940604635253,right,T4c,635,6,-6,-9,3
720575940604635616,left,L1,223,-2,26,15,11
720575940604636021,right,T4c,109,4,-5,-7,2
720575940604636789,right,T4c,205,5,-6,-8,2
720575940604637045,right,T4d,109,4,-5,-7,2
720575940604640945,right,T4a,668,1,19,8,11
720575940604646368,right,T2,439,-3,-9,-2,-7
720575940604650464,right,C2,351,-1,-17,-8,-9
720575940604652512,right,T4d,653,-6,-12,0,-12
720575940604654048,left,C2,493,-3,23,14,9
720575940604657888,left,T3,635,6,-6,-9,3
720575940604658912,right,Tm4,594,7,-16,-15,-1
720575940604661472,left,L2,313,7,3,-6,9
720575940604664800,left,Tm9,443,-6,4,8,-4
720575940604666336,left,T5c,419,-3,-11,-3,-8
720575940604668094,right,Tm9,334,1,-26,-14,-12
