root_id,type,family,subsystem,category,side
720575940596125868,T5c,T5 Neuron,Motion,intrinsic,right
720575940597856265,Tm16,Transmedullary,Color,intrinsic,right
720575940597944841,Tm7,Transmedullary,Color,intrinsic,right
720575940598267657,TmY15,Transmedullary Y,Object,intrinsic,right
720575940599333574,Tm1,Transmedullary,OFF,intrinsic,right
720575940599457990,T4b,T4 Neuron,Motion,intrinsic,right
720575940599459782,T5b,T5 Neuron,Motion,intrinsic,right
720575940599704006,T5a,T5 Neuron,Motion,intrinsic,right
720575940599729862,T5a,T5 Neuron,Motion,intrinsic,right
720575940599733446,T5b,T5 Neuron,Motion,intrinsic,right
720575940599736492,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940599744172,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940599755718,T4a,T4 Neuron,Motion,intrinsic,right
720575940599763910,T5b,T5 Neuron,Motion,intrinsic,right
720575940599797164,Dm3v,Distal Medulla,Form,intrinsic,left
720575940600010668,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940600071689,T5b,T5 Neuron,Motion,intrinsic,right
720575940600084489,Tm9,Transmedullary,Motion,intrinsic,right
720575940600101641,T4a,T4 Neuron,Motion,intrinsic,right
720575940600124169,T5b,T5 Neuron,Motion,intrinsic,right
720575940600143369,T4a,T4 Neuron,Motion,intrinsic,right
720575940600150793,T5a,T5 Neuron,Motion,intrinsic,right
720575940600322965,L2,Lamina Monopolar,OFF,intrinsic,left
720575940600547529,T4a,T4 Neuron,Motion,intrinsic,right
720575940600588204,Dm2,Distal Medulla,Luminance,intrinsic,right
720575940600623020,Dm3q,Distal Medulla,Form,intrinsic,right
720575940600722348,Sm01,Serpentine Medulla,Color,intrinsic,right
720575940600782252,Mi9,Medulla Intrinsic,Luminance,intrinsic,right
720575940600850441,T4c,T4 Neuron,Motion,intrinsic,right
720575940600866569,T5d,T5 Neuron,Motion,intrinsic,right
720575940600934665,T4d,T4 Neuron,Motion,intrinsic,right
720575940601049097,R1-6,Photo Receptors,Photoreceptors,intrinsic,right
720575940601067436,Mi15,Medulla Intrinsic,Luminance,intrinsic,right
720575940601103625,TmY3,Transmedullary Y,Object,intrinsic,right
720575940601206499,T4b,T4 Neuron,Motion,intrinsic,right
720575940601263473,T4a,T4 Neuron,Motion,intrinsic,left
720575940601325484,Mi15,Medulla Intrinsic,Luminance,intrinsic,right
720575940601412361,TmY20,Transmedullary Y,Motion,intrinsic,right
720575940601423625,TmY31,Transmedullary Y,Color,intrinsic,right
720575940601598892,Mi9,Medulla Intrinsic,Luminance,intrinsic,right
720575940601603185,T2a,T2 Neuron,Object,intrinsic,left
720575940601653513,Dm3q,Distal Medulla,Form,intrinsic,right
720575940601672201,T4b,T4 Neuron,Motion,intrinsic,right
720575940601712649,Li22,Lobula Intrinsic,Object,intrinsic,right
720575940601736201,Dm10,Distal Medulla,Luminance,intrinsic,right
720575940601867017,Tm5f,Transmedullary,Color,intrinsic,right
720575940602140862,T5b,T5 Neuron,Motion,intrinsic,right
720575940602289198,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940602398473,Tm3,Transmedullary,ON,intrinsic,right
720575940602401214,T3,T3 Neuron,Object,intrinsic,right
720575940602483424,LC31b,LC,,boundary,left
720575940602497726,T5c,T5 Neuron,Motion,intrinsic,right
720575940602572768,T2a,T2 Neuron,Object,intrinsic,right
720575940602577598,T5a,T5 Neuron,Motion,intrinsic,right
720575940602619249,Dm3p,Distal Medulla,Form,intrinsic,left
720575940602737598,T5a,T5 Neuron,Motion,intrinsic,right
720575940602790610,T5c,T5 Neuron,Motion,intrinsic,right
720575940602857440,Tm8a,Transmedullary,Color,intrinsic,right
720575940602857696,L1,Lamina Monopolar,ON,intrinsic,right
720575940602858464,T2a,T2 Neuron,Object,intrinsic,right
720575940602880736,Tm9,Transmedullary,Motion,intrinsic,right
720575940602885344,cLP01,cLP,,boundary,right
720575940602922976,T2,T2 Neuron,Object,intrinsic,right
720575940602928608,T4c,T4 Neuron,Motion,intrinsic,right
720575940602943968,Mi4,Medulla Intrinsic,Color,intrinsic,right
720575940603011808,LTe66,LT,,boundary,left
720575940603022304,T4a,T4 Neuron,Motion,intrinsic,left
720575940603042272,Mi1,Medulla Intrinsic,ON,intrinsic,right
720575940603067360,LC13,LC,,boundary,right
720575940603077600,LC12,LC,,boundary,left
720575940603114869,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940603174572,LCe06,LC,,boundary,left
720575940603176049,Dm3p,Distal Medulla,Form,intrinsic,left
720575940603200428,Mi1,Medulla Intrinsic,ON,intrinsic,right
720575940603215532,Dm2,Distal Medulla,Luminance,intrinsic,right
720575940603225312,LC17,LC,,boundary,left
720575940603268780,Tm2,Transmedullary,OFF,intrinsic,right
720575940603272038,LC18,LC,,boundary,left
720575940603295200,Mi9,Medulla Intrinsic,Luminance,intrinsic,right
720575940603314144,Y4,Y Neuron,Object,intrinsic,right
720575940603314656,Tm2,Transmedullary,OFF,intrinsic,right
720575940603318240,Tm4,Transmedullary,OFF,intrinsic,left
720575940603327916,Mi1,Medulla Intrinsic,ON,intrinsic,right
720575940603333804,T2a,T2 Neuron,Object,intrinsic,right
720575940603338156,Li17,Lobula Intrinsic,Object,intrinsic,left
720575940603339232,T4c,T4 Neuron,Motion,intrinsic,right
720575940603349216,T5d,T5 Neuron,Motion,intrinsic,left
720575940603356896,T4d,T4 Neuron,Motion,intrinsic,right
720575940603365980,T5a,T5 Neuron,Motion,intrinsic,right
720575940603366112,Dm8b,Distal Medulla,Color,intrinsic,right
720575940603372460,MeTu1,MeTu,,boundary,left
720575940603373916,T5a,T5 Neuron,Motion,intrinsic,right
720575940603379168,Tm25,Transmedullary,Object,intrinsic,left
720575940603383008,Tm3,Transmedullary,ON,intrinsic,right
720575940603384748,Tm4,Transmedullary,OFF,intrinsic,right
720575940603390380,T5c,T5 Neuron,Motion,intrinsic,left
720575940603391404,LC6,LC,,boundary,right
720575940603391712,T4c,T4 Neuron,Motion,intrinsic,right
720575940603391778,T5d,T5 Neuron,Motion,intrinsic,left
720575940603392546,T5b,T5 Neuron,Motion,intrinsic,left
720575940603394272,T4c,T4 Neuron,Motion,intrinsic,right
720575940603397088,MTe04,MT,,boundary,right
720575940603402412,LC12,LC,,boundary,right
720575940603404834,T5d,T5 Neuron,Motion,intrinsic,left
720575940603406258,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940603407328,TmY3,Transmedullary Y,Object,intrinsic,right
720575940603408608,Dm3v,Distal Medulla,Form,intrinsic,right
720575940603435232,C2,Centrifugal,ON,intrinsic,right
720575940603439020,cLP01,cLP,,boundary,right
